date,rebalance_date,regime_state_at_rebalance,equity_return,cash_return,portfolio_return,transaction_cost,net_return,nav,benchmark_return,benchmark_nav,equity_exposure,cash_weight,vol_scale,loss_protection_scale,regime_state,is_oos
2015-02-02,2015-01-30,Risk-On,-0.01834356268858611,0.00011973015873015872,-0.01834356268858611,0.0007500000000000002,-0.01909356268858611,0.9809064373114139,-0.0234190059952421,0.976580994004758,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-03,2015-01-30,Risk-On,0.01576994396294637,0.00011973015873015872,0.01576994396294637,0.0,0.01576994396294637,0.9963752768607083,0.0248914715739008,1.000889532056639,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-04,2015-01-30,Risk-On,-0.01170838600141042,0.00011973015873015872,-0.01170838600141042,0.0,-0.01170838600141042,0.9847093305169609,-0.0103789296992388,0.9905013699667192,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-05,2015-01-30,Risk-On,-0.012858506798796196,0.00011973015873015872,-0.012858506798796196,0.0,-0.012858506798796196,0.9720474388956705,-0.0102364417561692,0.9803621603836491,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-06,2015-01-30,Risk-On,-0.014714285982852284,0.00011973015873015872,-0.014714285982852284,0.0,-0.014714285982852284,0.9577444548908605,-0.0161944979218555,0.9644856874146504,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-09,2015-01-30,Risk-On,0.003437269110636958,0.00011973015873015872,0.003437269110636958,0.0,0.003437269110636958,0.9610364803215408,0.010113753690655,0.9742402580953242,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-10,2015-01-30,Risk-On,0.013142922843976099,0.00011973015873015872,0.013142922843976099,0.0,0.013142922843976099,0.9736673086326532,0.018237728864489,0.9920081877713366,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-11,2015-01-30,Risk-On,0.009494485626362108,0.00011973015873015872,0.009494485626362108,0.0,0.009494485626362108,0.9829117788993246,0.0079781199744168,0.9999225481089802,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-12,2015-01-30,Risk-On,0.005071953166628642,0.00011973015873015872,0.005071953166628642,0.0,0.005071953166628642,0.9878970614088295,0.002547956917106,1.0024703076820047,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-13,2015-01-30,Risk-On,0.01376084985538562,0.00011973015873015872,0.01376084985538562,0.0,0.01376084985538562,1.001491364543453,0.0078289243231091,1.0103185718570111,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-16,2015-01-30,Risk-On,0.011716760579874799,0.00011973015873015872,0.011716760579874799,0.0,0.011716760579874799,1.0132255990846208,0.0085465331422769,1.018953293015645,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-17,2015-01-30,Risk-On,0.008207096079034089,0.00011973015873015872,0.008207096079034089,0.0,0.008207096079034089,1.0215412389260452,0.0065263926128515,1.0256033822600232,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-25,2015-01-30,Risk-On,-0.0011903255553432366,0.00011973015873015872,-0.0011903255553432366,0.0,-0.0011903255553432366,1.0203252722835146,-0.0123762109199557,1.0129102984809533,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-26,2015-01-30,Risk-On,0.015539242356739652,0.00011973015873015872,0.015539242356739652,0.0,0.015539242356739652,1.0361803539722345,0.0251718371853628,1.0384071115976932,1.0,0.0,1.0,1.0,Risk-On,False
2015-02-27,2015-01-30,Risk-On,0.0005004095218304627,0.00011973015873015872,0.0005004095218304627,0.0,0.0005004095218304627,1.0366988684876959,0.0018360791802136,1.0403137092758834,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-02,2015-02-27,Risk-On,0.007888300488191797,0.00011973015873015872,0.007888300488191797,0.0009,0.006988300488191797,1.0439436316964563,0.0079550094980385,1.0485894147141128,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-03,2015-02-27,Risk-On,-0.027686502858501813,0.00011973015873015872,-0.027686502858501813,0.0,-0.027686502858501813,1.0150404833533777,-0.0259256122501397,1.0214040921386338,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-04,2015-02-27,Risk-On,0.007273357943479422,0.00011973015873015872,0.007273357943479422,0.0,0.007273357943479422,1.0224232361159291,0.0065343937968584,1.0280783487023903,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-05,2015-02-27,Risk-On,-0.013630717134537767,0.00011973015873015872,-0.013630717134537767,0.0,-0.013630717134537767,1.008486874192654,-0.0097648649521273,1.0180393024671055,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-06,2015-02-27,Risk-On,0.0005504873485682494,0.00011973015873015872,0.0005504873485682494,0.0,0.0005504873485682494,1.0090420334580943,-0.0050978965456488,1.0128494434237236,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-09,2015-02-27,Risk-On,0.025785578163923694,0.00011973015873015872,0.025785578163923694,0.0,0.025785578163923694,1.0350607656825126,0.0170273564619436,1.0300955919391805,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-10,2015-02-27,Risk-On,-0.0013060027916603546,0.00011973015873015872,-0.0013060027916603546,0.0,-0.0013060027916603546,1.0337089734329932,-0.0048446046215815,1.0251051860738012,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-11,2015-02-27,Risk-On,0.007050083896134032,0.00011973015873015872,0.007050083896134032,0.0,0.007050083896134032,1.0409967084198823,0.0011480961685343,1.0262821054102773,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-12,2015-02-27,Risk-On,0.02146673811787344,0.00011973015873015872,0.02146673811787344,0.0,0.02146673811787344,1.0633435121411003,0.0193468690393068,1.046137450901034,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-13,2015-02-27,Risk-On,0.004934631773397693,0.00011973015873015872,0.004934631773397693,0.0,0.004934631773397693,1.068590720822148,0.0069062280466394,1.0533623147050866,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-16,2015-02-27,Risk-On,0.017433838196977424,0.00011973015873015872,0.017433838196977424,0.0,0.017433838196977424,1.0872203585477527,0.0243290063154133,1.078989573111965,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-17,2015-02-27,Risk-On,0.018634262802466276,0.00011973015873015872,0.018634262802466276,0.0,0.018634262802466276,1.107479908433123,0.013884395025894,1.0939706905738722,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-18,2015-02-27,Risk-On,0.016849669639056916,0.00011973015873015872,0.016849669639056916,0.0,0.016849669639056916,1.1261405790221142,0.0236705116309772,1.1198655365290493,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-19,2015-02-27,Risk-On,-0.005061265455805644,0.00011973015873015872,-0.005061265455805644,0.0,-0.005061265455805644,1.1204408826111285,-0.0016422022045966,1.1180264908761095,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-20,2015-02-27,Risk-On,0.004937564018119955,0.00011973015873015872,0.004937564018119955,0.0,0.004937564018119955,1.1259731311975398,0.0137600498367207,1.1334105911093388,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-23,2015-02-27,Risk-On,0.018486634124755326,0.00011973015873015872,0.018486634124755326,0.0,0.018486634124755326,1.146788584508294,0.0204201641381769,1.1565550214157396,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-24,2015-02-27,Risk-On,0.002426517143120481,0.00011973015873015872,0.002426517143120481,0.0,0.002426517143120481,1.1495712866681382,0.0002479820929235,1.1568418263505316,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-25,2015-02-27,Risk-On,-0.011811730886601243,0.00011973015873015872,-0.011811730886601243,0.0,-0.011811730886601243,1.1359928599950502,-0.0082138490216322,1.147339702246979,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-26,2015-02-27,Risk-On,0.014178951186742289,0.00011973015873015872,0.014178951186742289,0.0,0.014178951186742289,1.1521000473054077,0.0024329943163303,1.150131173221446,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-27,2015-02-27,Risk-On,-0.0002305545535996019,0.00011973015873015872,-0.0002305545535996019,0.0,-0.0002305545535996019,1.1518344253932993,0.0054931659476369,1.1564490346175018,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-30,2015-02-27,Risk-On,0.02690674358243279,0.00011973015873015872,0.02690674358243279,0.0,0.02690674358243279,1.1828265389267756,0.0293277659398487,1.190365101226128,1.0,0.0,1.0,1.0,Risk-On,False
2015-03-31,2015-02-27,Risk-On,-0.012370479034752812,0.00011973015873015872,-0.012370479034752812,0.0,-0.012370479034752812,1.1681944080252327,-0.0090441267479056,1.1795992883743556,1.0,0.0,1.0,1.0,Risk-On,False
2015-04-01,2015-03-31,Risk-On,0.020930733642015656,0.00011973015873015872,0.020930733642015656,0.0006000000000000001,0.020330733642015656,1.191944657376886,0.0179430608777044,1.2007649102169535,1.0,0.0,1.0,1.0,Risk-On,False
