sample,start_date,end_date,days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,information_ratio,win_rate,profit_factor,var_95,cvar_95,skewness,kurtosis,final_nav
Full Sample,2015-02-02,2024-12-31,2411,1.0855733821894473,0.07985575849270421,0.19656755469312107,0.2536316767563112,0.41028455844456435,-0.3086768619255209,0.2587034155866603,0.5393868474174269,0.5147241808378267,1.09469364230639,-0.018287567550663266,-0.02945105803848462,-0.060317353144411945,6.826341864760124,2.0855733821894473
In Sample,2015-02-02,2019-12-31,1199,0.4819263948069854,0.08618427877106072,0.1902595595646284,0.2953033156369509,0.4661473053954695,-0.30057957168131466,0.28672699973914534,0.4147458774940936,0.5154295246038365,1.1055801664541849,-0.01766455364758438,-0.029956555903840235,-0.2293910926237685,6.071337717427859,1.4819263948069854
Out of Sample,2020-01-02,2024-12-31,1212,0.4073393857466774,0.07363140036888738,0.20269299714842193,0.21525854855724635,0.35642307133023204,-0.30867686192552124,0.2385387745280806,0.6504086499994018,0.514026402640264,1.0851343517792802,-0.01855436279398339,-0.02892936957966983,0.0786834628774126,7.338624788848376,1.4073393857466774
